serial,name_ar,tweet_count,created_at,text,impression,key_freq,words_n
11,نجيب ميقاتي,1,21-Nov-2013,يجب العمل في المدى المنظور على انشاء مراكز إيواء مؤقتة  للنازحين داخل الحدود السورية لان هذا الملف بات يشكل ضغظا كبيرا لا يمكن للبنان تحمله,-1,2,139
12,نجيب ميقاتي,1,21-Nov-2013,نتمنى ان تعي الدول العربية والاجنبية دقة الوضع الذي يعانيه لبنان جراء إستمرار تدفق النازحين السوريين اليه وضرورة مقاربة هذا الملف,-1,2,129
13,نجيب ميقاتي,1,18-Nov-2013,أننا  نبحث مع الامم المتحدة سبل معالجة معضلة النزوح السوري لجهة إقامة مخيمات للنازحين داخل الاراضي السورية,-1,2,106
14,نجيب ميقاتي,1,18-Nov-2013,يجب إيجاد حلول فعّالة لقضية التدفق المضطرد للنازحين السوريين الى لبنان وتأمين موارد كافية من أجل إدارة هذا النزوح وتطويق نتائجه السلبية,-1,2,135
15,نجيب ميقاتي,1,18-Oct-2013,لبنان يتطلع الى مساندة أصدقائه له  في معالجة تداعيات الأزمة السورية عليه وبشكل خاص ملف النازحين السوريين,-1,2,104
16,نجيب ميقاتي,1,18-Sep-2013,اليوم جاء دور المجتمع الدولي لتحمل مسؤوليته تجاه لبنان الذي لا يزال يتحمل العبء الأكبر لأزمة النازحين السوريين بين كل دول المنطقة,-1,2,129
17,نجيب ميقاتي,1,18-Sep-2013,إن لبنان،على الصعيدين الوطني والشعبي، كان ولا يزال يظهر تعاطفاً وتضامناً جديرَيْن بالإعتبار مع مأساة النازحين السوريين,-1,2,118
18,نجيب ميقاتي,1,18-Sep-2013,نشدد على ان لبنان كان ولا يزال يظهر تعاطفاً وتضامناً جديرَيْن بالإعتبار مع مأساة النازحين السوريين,1,3,98
19,نجيب ميقاتي,1,18-Sep-2013,على المجتمع الدولي تحمل مسؤوليته تجاه لبنان، الذي ما زال يتحمل العبء الأكبر من أزمة النازحين السوريين بين كل دول المنطقة,-1,3,120
20,نجيب ميقاتي,1,6-Sep-2013,أن لبنان غير  قادر بمفرده على تحمل تداعيات النزوح السوري اليه، وهو عبّر عن ذلك منذ بداية الأزمة السورية,-1,2,103
21,نجيب ميقاتي,1,6-Sep-2013,ندعو المجتمع الدولي إلى تحييد لبنان عن الصراعات الدائرة في المنطقة ومساعدته على معالجة ملف النازحين السوريين,-1,2,108
22,نجيب ميقاتي,1,15-Jul-2013,هذا الملف يأخذ حيز البحث الجدي والسريع لصياغة آلية تسهل وصول المساعدات المطلوبة لادارة أزمة النازحين السوريين,-1,2,109
23,نجيب ميقاتي,1,18-Jun-2013,ندعو المجتمع الدولي الى التعاون مع لبنان لتقاسم الأعباء الناتجة عن تزايد أعداد النازحين السوريين الى لبنان,-1,2,106
24,نجيب ميقاتي,1,7-May-2013,لبنان الذي رعى النازحين السوريين الذين وفدوا الى أراضيه ولا يزالون منذ بداية الأحداث في سوريا ، يجد نفسه اليوم عاجزا عن إستمرار هذه الرعاية,-1,2,139
25,نجيب ميقاتي,1,28-Jan-2013,ولكن الأهم في هذا المجال هو معالجة الإنعكاسات الأمنية والصحية والاجتماعية لملف النازحين السوريين,-1,2,96
26,نجيب ميقاتي,1,28-Jan-2013,إننا نتطلع الى مؤتمر الكويت الذي سيعقد الأربعاء المقبل للحصول على مساعدات دولية لإغاثة النازحين السوريين,1,1,104
27,نجيب ميقاتي,1,17-Dec-2012,تهدف الخطة لوضع الية تنسيق وتمويل للخدمات التي تنوي الحكومة اللبنانية تقديمها للنازحين السورين والأسراللبنانية المضيفة,1,1,118
28,نجيب ميقاتي,1,17-Dec-2012,ستدرج خطة الحكومة اللبنانية كجزء من خطة الأمم المتحدة للإستجابة لقضية النازحين السوريين في المنطقة وستطلق نهار الاربعاء المقبل في جنيف.,1,1,135
29,نجيب ميقاتي,1,28-Nov-2012,إمكانات الدولة اللبنانية لا تسمح لنا بالإستمرار في مساعدة النازحين السوريين من دون مساعدة الهيئات الدولية المعنية,-1,2,113
30,نجيب ميقاتي,1,28-Nov-2012,شددنا دائما على أننا لا ننأى بأنفسنا عن الواجب الإنساني تجاه النازحين السوريين ونحن مستمرون في هذا الإلتزام,1,2,107
31,نجيب ميقاتي,1,28-Nov-2012,نأكد إلتزام حكومتنا بمساعدة النازحين السوريين الموجودين في لبنان إلى حين عودتهم,-1,2,79
32,وليد جنبلاط,1,3-Mar-2019,لقاء ودي ومصارحة مع سفير الاتحاد الروسي في لبنان السيد Alexandre Zassipkine .كان نقاش عام حول شتى المواضيع المحلية والعالمية وطبعا من جملة ما جرى التطرق اليه هو الخطة الروسية التي تتعلق بالنازحين السوريين واهمية تثبيت العودة الطوعية والآمنة بعيدا عن جو المزايدات والعنصرية https://t.co/jQuirZcsSC,-1,2,296
33,وليد جنبلاط,1,27-Feb-2019,لاتقارب قضية اللاجئين السوريين بالمزايدات السياسية .اننا سنقيم ندوة تجمع الاخصائين في موضوع النزوح وليكن تبادل الاراء موضوعي للخروج بتوصيات قابلة للتطيق.وبالمناسبة نتفهم هواجس الرئيس عون لكن كلام بعض المقربين منه غير دقيق اذ لم يعد القبارصة اليونانيين الى املاكهم المحتلة تركياً https://t.co/WutjrvvH6l,-1,1,302
34,وليد جنبلاط,1,26-Feb-2019,اجتمعت اليوم مع Frederica Mogherini الممثلة العليا للاتحاد الاوروبي للشؤون الخارجية والسياسية والامنية.استعرضنا  باختصار المحاور الاساسية الداخلية وموضوع اللاجئين السوريين واهمية المساعدات الاوروبية لهم وللبنان ومبدأالعودة الآمنة والطوعية .كما جرى الحديث عن اوضاع اوروبا عامة https://t.co/GhVuzxaWqw,-1,1,299
35,وليد جنبلاط,1,19-Oct-2018,لا بد ان تظهر الحقيقة حول اختفاء جمال خاشقجي الا اذا كان ضحية صراع الدول ومصالحها .في هذا المجال غريب كيف الرأي العام العالمي لم يتحرك في قضية الشعب السوري الذي اغتيل وتهجر وخطف وتعذب . وها هو دميستورا يتأسف انه لم ينجز الدستور قبل ان ينهي مهمته .الاخضر الابراهيمي احترم نفسه وترك https://t.co/n13pGsu9EJ,1,4,304
36,وليد جنبلاط,1,25-Apr-2018,اليوم وفي طريقي الى المختارة في منطقة وادي رشميا التقيت بعائلة من النازحين من سوريا وكانوا الى جانب الطريق ينتظرون سامر صاحب الفان لايصالهم الى المدرسة .وكم كان في وجوههم نظرة فرح وتحد بانهم يتحدون نكبتهم بالاصرار على العلم .التحية لهذا الشعب الكبير ولتخرس الاصوات العنصرية https://t.co/jtWBJWMU7d,1,3,297
37,وليد جنبلاط,1,9-Oct-2017,اخر زمان : وكأن اللاجئ السوري اتى من القمر ليحتل بلادنا وعلى ضهره الفلسطيني الذي لا وطن له.فيقوم كبار الساسة  ومعهم سيدات المجتمع بالتحريض https://t.co/vfmWjypqtn,1,2,162
38,وليد جنبلاط,1,11-Aug-2017,وقف التحريض على اللاجئ السوري واعادة النظر بنظرية النمو ووصفات البنك الدولي الفوقية https://t.co/PQ1nnM96Dz,1,2,107
39,وليد جنبلاط,1,11-Jul-2017,يجب الحد من عاصفة الحقد والعنصرية تجاه اللاجئ السوري الذي يضيف على الاقتصاد المحلي حوالي مليار دولار ونيف https://t.co/bg9ZvOrTQh,1,3,129
40,وليد جنبلاط,1,23-Aug-2016,اصر النظام على الحل العسكري القمعي الامر الذي دمر سوريا وهجر ملايين من شعبها https://t.co/gqSdGm2wKb,1,1,100
41,وليد جنبلاط,1,1-Mar-2016,والشعب السوري متروك وحيدا يقتل ويعذب ويهجر https://t.co/tuzRFn9KMV,1,3,66
42,بطرس حرب,1,18-Oct-2017,في تركيا كما في الأردن يعالجون أزمة النازحين دون إشتراط  التواصل مع النظام السوري #مجلس_النواب,-1,2,94
43,بطرس حرب,1,13-Nov-2014,عندما خفَّضت أسعار الإتصالات قامت القيامة لكن بعد أشهر سجلنا إيرادات جيدة والمشكلة في زيادة عدد النازحين السوريين وسنقوم بعرض خدمة خاصة بهم,-1,2,139
44,وئام وهاب,1,9-Jun-2019,أما بالنسبة للسوريين فلنأخذ الجانب الإيجابي رغم سلبيات النزوح ففي لبنان مائة ألف شقة مؤجرة لسوريين وكل المساعدات التي تأتي على إسمهم حتى أموال سيدر ومستقبلاً سيذهب الآلاف للعمل في إعمار سوريا فلماذا نؤسس للحقد؟,-1,2,210
45,وئام وهاب,1,1-Mar-2019,"#وهاب: بدء الإعمار في سوريا يعيد النازحين السوريين الى بلدهم وعلى الأوروبيين أن يشجعوا إعادة الإعمار في سوريا وتشجيع العربي على العودة الى سوريا والمشاركة في إعادة الإعمار ما يعيد النازحين الى بلدهم
#حديث_الساعة",-1,2,212
46,وئام وهاب,1,2-Feb-2019,بعد لقائه سفيرة الدانمارك في لبنان وهاب:عودة اللاجئين يلزمها البدء بورشة الإعمار في سوريا بدعم عربي وأوروبي وإسقاط العقوبات الظالمة عنها ودون ذلك سيظل عبء اللجوء جاثماً على لبنان واوروبا https://t.co/4lMr9Rt6MO,-1,2,210
47,وئام وهاب,1,27-Nov-2017,على لبنان أن يبدأ الإستعداد لتنظيم عودة السوريين النازحين الى ديارهم فالحل السياسي أقرب مما نتوقع وقد وضعت خطوطه العريضة,-1,2,120
48,وئام وهاب,1,2-Sep-2017,لا شيء يمنع بدء عودة غالبية النازحين إلى سوريا إلا أوهام هواة السياسة في لبنان بأنهم قادرون على استعمالهم في أي استحقاق سوري قادم,-1,2,129
49,وئام وهاب,1,5-Jul-2017,وهاب: رئيس الحكومة أكد استعداد سوريا لإستقبال مئات آلاف النازحين في المدن الآمنه إعتباراً من الغد والدعوة مفتوحة للجميع للعودة,-1,2,126
50,وئام وهاب,1,12-Oct-2016,تسليم سوريين للسلطات الألمانيه سورياً كان ينوي القيام بعمليه ارهابيه عمل بطولي ويُظهر وجهاً عربياً لائقًاً تجاه المانيا التي كرمت اللاجئين,1,2,138
51,جبران باسيل‎,1,15-Jun-2019,لبنان يتعرض الى مؤامرة ولا يقولنّ احد انه ليس هناك مخطط لتوطين النازحين السوريين في لبنان وهناك منظومة اعلامية ومالية وسياسية تعمل على تشجيع النازحين على البقاء وتشن هجوماً علينا لمطالبتنا بعودة النازحين,-1,5,203
52,جبران باسيل‎,1,15-Jun-2019,عدد كبير من الطلبات نتلقاها من دول اوروبية لاعادة سوريين نزحوا اليها من لبنان ونرفض ذلك لان الواجب هو عودتهم الى سوريا,-1,2,118
53,جبران باسيل‎,1,15-Jun-2019,النازح السوري لا يتحمل اي موجبات ضريبية فيما اللبناني يتعرض للمزاحمة على فرص العمل ويخسرها وهو يدفع الرسوم الى الدولة اللبنانية,-1,3,127
54,جبران باسيل‎,1,15-Jun-2019,تجربة اللاجئ الفلسطيني لن تتكرر مع النازح السوري الممنوع من العودة حتى الان من عدة اطراف بسبب عدة عوامل,-1,2,103
55,جبران باسيل‎,1,12-Jun-2019,"هناك قرار دولي يتحدث عن حق العودة للفلسطينيين ونحن مع هذا الحق ونرفض التوطين بحسب دستورنا.
عودة النازحين السوريين ممكنة لكن الغرب لا يشجعها ونحن نطالبه بذلك",-1,3,157
56,جبران باسيل‎,1,12-Jun-2019,لدينا 200 نازح سوري في الكلم المربع الواحد والفلسطينون والسوريون باتت نسبتهم اكثر من نصف عدد اللبنانيين ويأتي من يقول لنا الا حل الا بانتظار الحل السياسي في سوريا وهذا ما نرفضه,-1,2,176
57,جبران باسيل‎,1,11-Jun-2019,لا مبرر بعد اليوم لبقاء النازحين السوريين في لبنان مع التشديد على ان لا احد يرغمهم على العودة وفي غالبية الحالات العودة ممكنة الى المناطق الآمنة والمساعدات التي يلقونها في لبنان يمكن ان يلقوها في بلادهم وليس في مكان يزداد فيه التوتر والمشكلات بفعل النزوح,-1,4,254
58,جبران باسيل‎,1,31-May-2019,لبنان لم يستغل يوما وجود النازحين السوريين على ارضه ولم يستغل اي دولة خاصة اوروبا بهذا الموضوع والحل الطبيعي بعودتهم لسوريا,-1,2,123
59,جبران باسيل‎,1,31-May-2019,باسيل بعد لقائه نظيره الاسباني : الشروط الضرورية لعودة النازحين السوريين اصبحت متوفرة بشكل كبير وكرامتهم باتت محفوظة لان اي تقارير جدية معاكسة لم تصدر بهذا المجال,-1,2,162
60,جبران باسيل‎,1,31-May-2019,باسيل امام رئيسة محلس النواب الاسباني:لبنان يواجه عبء النزوح السوري والاخطر هي المحاولات لجعل هذا البقاء دائم لا موقت وهذا ما لا نريده وتجربتنا مع اللاجئين الفلسطينيين دليل,-1,3,172
61,جبران باسيل‎,1,11-May-2019,"ليس في استطاعتنا ان نترك نازحين على ارضنا طالما صار بامكانهم العودة،  ولأننا نحبهم ونحب بلدهم سوريا نريدهم ان يعودوا... ولأننا نحبكم ونحب بلدنا نريدهم ان يعودوا، اما اذا ""زعلت منا"" بعض الدول فنحن ""لا نشتغل عندهم"" بل عند الشعب اللبناني",-1,3,234
62,جبران باسيل‎,1,16-Apr-2019,أعيدوا سوريا الى الجامعة، ولنعمل معاً لإعادة النازحين الى سوريا، ولتكن الجامعة العربية أم الصبي والمبادر الأول لمعالجة المشاكل العربية ونطلب عندها مساعدة روسيا، ومن يريد مساعدتنا، على إيجاد الحلول وليس على خلق المشاكل.,-1,2,218
63,جبران باسيل‎,1,16-Apr-2019,لا أريد تكرار ما تحمل لبنان من تبعاتٍ للأزمةِ السورية، ولكن أريد أن ننحاز هنا في روسيا لمصلحة لبنان ونؤيد المبادرة الروسية لعودة النازحين، بدلاً من الإكتفاء بشكر لبنان على إستضافته لهم. فلبنان لم يعد يحتمل، وهو بحاجة لأفعال قبل الأقوال والأموال؛ والى حل مستدام وليس مساعدات دائمة.,-1,3,280
64,جبران باسيل‎,1,16-Apr-2019,اليوم الأزمة السورية على شفير الإنتهاء، ونحن مع المصالحة بين المكونات السورية، ومع وضع لجنة لتعديل الدستور، ومع الحل السياسي الذي سيوافق عليه ويختاره السوريون، ومع الإنتخابات الديموقراطية، ومع إعادة الإعمار ومع عودة النازحين السوريين، من دون ربطها بأي شرط سوى الأمن والكرامة.,-1,2,275
65,جبران باسيل‎,1,10-Apr-2019,لا يجوز أن يبقى لبنان وجاراه في الجغرافيا من دون تنسيق مميز سياسي واقتصادي وعلى رأس جدول الاعمال السياسي عودة النازحين السوريين وعلى المجتمع الدولي ان يتحمل مسؤولياته,-1,2,166
66,جبران باسيل‎,1,10-Apr-2019,لبنان لا يمكنه أن يستمرّ طويلاً في سدّ منافذ تسرّب النازحين السوريين الى أوروبا,-1,2,79
67,جبران باسيل‎,1,9-Apr-2019,"القضايا العربية المشتركة، الأزمة السورية،ملف النازحين السوريين وأنعكاساته على لبنان, تفعيل أعمال مؤتمر القمة العربية في تونس وقبلها القمة الاقتصادية التنموية في بيروت مواضيع البحث بين وزير الخارجية والمغتربين جبران باسيل وضيفه الأمين العام لجامعة الدول العربية أحمد أبو الغيط https://t.co/QhTUSLmHwQ",-1,2,299
68,جبران باسيل‎,1,2-Apr-2019,من مجلس النواب: عودة النازحين تتأمن بتطبيق القانون اللبناني وبالتعاطي مع المجتمع الدولي ومع الحكومة السورية وهذه ثلاثة اجزاء للخطة ولا يجوز حصرها باتجاه واحد,-1,2,157
69,جبران باسيل‎,1,29-Mar-2019,خلال مؤتمر صحافي مشترك مع وزيرة الخارجية البلغارية: لا يحق لأحد ان يمنعنا من عدم استقبال نازحين او لاجئين او متسللين من الاراضي السورية لأن المبرر لم يعد قائما,-1,2,159
70,جبران باسيل‎,1,27-Mar-2019,"لقاء مع رئيس مجلس الوزراء التشيكي في مقرّ رئاسة مجلس الوزراء. 
لقاء مثمر وصريح تناول الاوضاع السياسية والإقتصادية وتناول المواضيع الاقليمية في المنطقة، من الجولان الى الوضع في سوريا الى عودة النازحين. https://t.co/tx2cbaYX3V",-1,2,225
71,جبران باسيل‎,1,22-Mar-2019,شرحت خطر النزوح على وجودية النموذج اللبناني الفريد واجرينا مقارنة بالاعداد واستنتجنا ان اذا طبقنا عدد النازحين السوريين والفلسطينيين في لبنان نكون كأن ولاية كنساس التي كان يمثلها في الكونغرس وفد اليها 42 مليون مواطن كندي على سبيل المثال,-1,3,236
72,جبران باسيل‎,1,19-Mar-2019,اول خسارة في موضوع النازحين هي لسوريا ويمكن لروسيا ان تكون عاملا مساعدا في عودتهم #مع_جبران,-1,2,91
73,جبران باسيل‎,1,14-Mar-2019,من يريد عودة النازحين عليه ان يوقف كذبة التطبيع مع سوريا، لأن علاقتنا قائمة وليست مقطوعة مع سوريا، ولا تحتاج الى تطبيع,-1,2,118
74,جبران باسيل‎,1,11-Feb-2019,متفقون على وجوب التسريع بالحلّ السياسي لسوريا ومسار أستانة يهم لبنان من ناحية الإستقرار وتهيئة الأجواء لعودة النازحين,-1,2,117
75,جبران باسيل‎,1,11-Feb-2019,ندعم لجنة تشكيل الدستور السورية وكلّ الجهود التي تصب بعودة النازحين فسوريا أصبحت آمنة في معظمها,-1,2,95
76,جبران باسيل‎,1,11-Feb-2019,للدولة السورية مساهمة كبيرة يمكن ان تقوم بها لتشجيع عودة النازحين عبر الضمانات في موضوع الملكية الفردية والخدمة العسكرية لوقف التخويف مع توسيع رقع المناطق التي يمكن ان تستقبل العائدين,-1,3,183
77,جبران باسيل‎,1,4-Feb-2019,كما نعرف أن الحل السياسي في سوريا سيكون محط إنقسام بين من يربط عودة النازحين واعادة الإعمار به او لعدم الربط، وهذه جدلية لن تنتهي قريباً وسندفع سوياً ثمن الوقت الضائع الى أن يقتنع الجميع بعدم جدوى الربط.,-1,2,203
78,جبران باسيل‎,1,4-Feb-2019,مليون ونصف نازح سوري أي 200/كلم2 أرهقوا لبنان مادياً بخسائر وصلت الى 40% من ناتجه القومي، وهم يهددون وجوده بتمزيق نسيجه الإجتماعي.,-1,5,130
79,جبران باسيل‎,1,4-Feb-2019,أزمة النزوح التي تواجهنا سوياً هي أكبر تحدي لنا سوياً، وإن إعتقد البعض منكم ومنا أن إبقاء النازحين في البلدان المجاورة لسوريا يبعدهم عنكم فهو مخطىء مجدداً،إذ أن أقرب طريق لذهابهم الى أوروبا هو ببقائهم في بلدان المتوسط الذي يربطنا بكم،والسبيل الوحيد لعدم ذهابهم اليكم هو في عودتهم,-1,4,279
80,جبران باسيل‎,1,2-Feb-2019,لدينا وزير للنازحين يعرف جيدا كيف يتحدث مع السوريين ومع المجتمع الدولي والا فنحن والنازحين سننزل للشارع للمطالبة بالعودة,-1,2,120
81,جبران باسيل‎,1,18-Jan-2019,لا يمكن ان نتشارك في مؤتمر اقتصادي اجتماعي عربي ونغفل الازمة الانسانية الكبرى لا بل الاكبر في هذا العصر واعني بها ازمة النازحين ولا سيما منهم السوريين,-1,2,150
82,جبران باسيل‎,1,11-Jan-2019,لماذا نرهن سياساتنا للخارج حيث لا مصلحة لنا؟ مصلحتنا وسياستنا التي سنطبقها هي عودة النازحين الى بلدهم اولا وفتح الحدود والعلاقة مع سوريا بما يتناسب مع مصلحة لبنان بين بلدين بكامل حريتهما واستقلالهما,-1,2,198
83,جبران باسيل‎,1,11-Jan-2019,بعد الحرب هناك عمران فهل من المعقول ان نعاقب انفسنا ولا نشارك لأن هناك دولة تمنعنا وتفرض  عقوبات اذا شاركنا وهل هذه الدولة قامت بواجبها تجاهنا يوم دفعنا ثماني سنوات من اقتصادنا جراء الازمة السورية والنزوح؟ وهل هناك من اعطى لبنان المال ام اعطوه للنازحين ليبقوا وليس ليعودوا؟,-1,3,273
84,جبران باسيل‎,1,12-Dec-2018,ادعو اصدقاءنا وتحديدا البريطانيين الى عدم الاكتفاء بشكرنا وكيل المديح لنا لحسن استضافتنا للنازحين السوريين بل الى الانخراط معنا في شراكة يربح فيها الجميع لحماية النسيج المجتمعي والتنوع  في منطقتنا ودعم العودة الآمنة الكريمة المتدرجة للنازحين بعيدا من اي اجندا سياسية,-1,2,266
85,جبران باسيل‎,1,10-Dec-2018,مع وزير الداخلية التركي رئيس الوفد التركي النقاش دار حول القضايا التي تهم البلدين خاصة قضية النازحين السوريين التي يتشارك لبنان وتركيا في تحمل اعبائها https://t.co/jsGa2lyOtl,-1,2,174
86,جبران باسيل‎,1,10-Dec-2018,أنا هنا لأناشدكم بأن الحل الوحيد للنزوح الجماعي هو في العودة الآمنة والكريمة والمستدامة والممرحلة للنازحين السوريين الى بلادهم، وكل حلٍ آخر سوف يبقي الخنجر في قلب لبنان والسكين على أعناقكم.,-1,2,189
87,جبران باسيل‎,1,10-Dec-2018,لبنان بإنسانيته إستقبل الهاربين من عصابات الهاجانا في فلسطين ومجموعات الإرهاب في سوريا وتحمل الأعباء والخسائر منفرداً، وهو يستحق أن يقف الجميع إحتراماً له، لا أن يحاول الكثيرون أن يوقفوا سيول اللاجئين داخل أرضهم بإنتظار حلٍ سياسي، فيدفع لبنان وحيداً ثمن الحربِ وثمن الحلّ.,-1,2,272
88,جبران باسيل‎,1,30-Nov-2018,ما كان بيسوى ما نمرّ عالفاتيكان ونشوف وزير خارجيته بول ريتشارد غالغر بعد الإلتباس اللي نُقل عنه بموضوع النازحين؛من جهة لاشرح له امكانية وضرورة عودتهم الى سوريا ومن جهة ثانية لاسمع منه ما اعرفه عن موقف الفاتيكان الداعم للبنان ووعد بمساعدتنا على شرح ودعم موقفنا بالمجتمع الدولي.GB https://t.co/NDAI6d16cY,-1,2,302
89,جبران باسيل‎,1,30-Oct-2018,باسيل مستقبلاً وفداً نيابياً واقتصادياً بولونياً لتوطيد العلاقات والبحث في الهبات التي تقدمها الدولة البولونية لإعادة النازحين السوريين الى بلادهم https://t.co/xm0ImDwSNJ,-1,2,170
90,جبران باسيل‎,1,25-Oct-2018,#باسيل: لا يمكن ان يطلب الأوروبيون منا ما لا يقبلونه على أنفسهم، فكلما طال النزوح خربت سوريا و تضرر لبنان,-1,3,105
91,جبران باسيل‎,1,13-Oct-2018,#باسيل: صدّقوني ولا تكتفوا بالقول اننا نريد حكومة، بل نريد حكومة منتجة، وليكون لبنان جاهزا ليس لعودة النازحين الى سوريا، فقط بل ليكون منصة اعمار له ولجارته... لطالما كنا اساس النهوض للدولة البعيدة، فكيف لا نكون للدولة الأقرب الينا؟,-1,2,231
92,جبران باسيل‎,1,13-Oct-2018,#باسيل: الاقتصاد يهدم على مر السنين، وهذا الاقتصاد زادت عليه مؤخراً عقوبات مجحفة واغلاق منافذ المحيط بفعل ازمة سوريا، وعبء نزوح ولجوء مليوني سوري وفلسطيني، وهذا الاقتصاد لا يمكنه ان ينهض في سنة واحدة... ويجب تحويله الى اقتصاد منتج.,-1,2,231
93,جبران باسيل‎,1,26-Sep-2018,خلال الاجتماع الخاص بسوريا نبهت الى ان سياسة ربط عودة النازحين واعادة الاعمار بالحل السياسي ستفشل وستسقط لأن الاعمار سيبدا في سوريا ولو من دون موافقتكم والنازحون سيعودون ولو من دون تشجيعكم... العودة الممرحلة تستدام باعادة الاعمار وهي المفتاح للحل السياسي الآتي حتما ولو متأخرا GB https://t.co/Ji7BbXd9Jj,-1,2,303
94,جبران باسيل‎,1,24-Sep-2018,#باسيل: رأينا على ارض لبنان عددا كبيرا من النازحين توجهوا الى السفارة السورية للتصويت للرئيس بشار الاسد، فكيف نفسر ذلك؟ نحن لا نطالب بارغام احد على العودة ولكن نطالب بعدم تشجيع النازحين على العكس,-1,2,195
95,جبران باسيل‎,1,24-Sep-2018,#باسيل: الحل السياسي في سوريا قد لا يتم التوصل اليه سريعا فلماذا ربط العودة به؟ وفي الاساس نحن نتحدث عن عودة آمنة وليس طوعية وبالتالي فالنازحون السياسيون ليسوا مرغمين على العودة,-1,2,177
96,جبران باسيل‎,1,24-Sep-2018,#باسيل ردا على سؤال عن موافقة الحكومة السورية على عودة النازحين: لسنا مسؤولين في لبنان الا عما نريده والحكومة السورية تعلن انها تريد عودة النازحين ونحن نرسل لوائح وهم يقبلونهم فلنضع الامر قيد التجربة,-1,2,199
97,جبران باسيل‎,1,24-Sep-2018,#باسيل: لبنان ليس بلد لجوء بل بلد هجرة ولا نريد ربط عودة النازحين بالحل السياسي في سوريا عكس المجتمع الدولي وهذا الربط بالنسبة الينا هو وقت يمر واندماج يتم وعودة اصعب,-1,3,166
98,جبران باسيل‎,1,24-Sep-2018,#باسيل من جامعة برينستون: لبنان يستضيف مليون ونصف مليون سوري منذ عام ٢٠١١ واذا اضيفوا الى اللاجئين الفلسطينيين وتم اسقاط الارقام على مساحة مماثلة هنا يمكن فهم الازمة,-1,1,165
99,جبران باسيل‎,1,11-Sep-2018,#باسيل: هل هكذا يكافىء لبنان بزيادة أزمة النزوح السوري على أزمة اللجوء الفلسطيني، وهل هكذا يكافىء بإعتماد سياسات الإندماج والتوطين على أرضه؟ وهل هكذا يحافظ على نموذج التنوع في العالم فيخرّب نسيجه الإنساني؟,-1,4,205
100,جبران باسيل‎,1,20-Aug-2018,#باسيل: يدعو لبنان الدول الصديقة للتعاطي بواقعية مع الموضوع السوري وخاصة النازحين اذ ليس من مصلحة احد انهيار لبنان اقتصاديا تحت وطأة النزوح الثقيل,-1,4,146
