serial,user_id,name,name_ar,name_en,screen_name,location,description,tweet_count,tweet_nocount,followers_count,friends_count,account_created_at,status_id,created_at,text,naze7,impression_text,impression,cat,word,word_en,word_freq
11,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,403530174731255808,21-Nov-2013,يجب العمل في المدى المنظور على انشاء مراكز إيواء مؤقتة  للنازحين داخل الحدود السورية لان هذا الملف بات يشكل ضغظا كبيرا لا يمكن للبنان تحمله,TRUE,negative,-1,new,ضغط,pressure,18
12,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,403529561842790400,21-Nov-2013,نتمنى ان تعي الدول العربية والاجنبية دقة الوضع الذي يعانيه لبنان جراء إستمرار تدفق النازحين السوريين اليه وضرورة مقاربة هذا الملف,TRUE,negative,-1,new,يعاني,suffer,3
13,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,402409750534438912,18-Nov-2013,أننا  نبحث مع الامم المتحدة سبل معالجة معضلة النزوح السوري لجهة إقامة مخيمات للنازحين داخل الاراضي السورية,TRUE,negative,-1,new,معضلة,dilemma,5
14,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,402409668577734656,18-Nov-2013,يجب إيجاد حلول فعّالة لقضية التدفق المضطرد للنازحين السوريين الى لبنان وتأمين موارد كافية من أجل إدارة هذا النزوح وتطويق نتائجه السلبية,TRUE,negative,-1,new,سلبيات,negatives,4
15,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,391272602016423936,18-Oct-2013,لبنان يتطلع الى مساندة أصدقائه له  في معالجة تداعيات الأزمة السورية عليه وبشكل خاص ملف النازحين السوريين,TRUE,negative,-1,new,تداعيات,ramifications,24
16,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,380350271894720512,18-Sep-2013,اليوم جاء دور المجتمع الدولي لتحمل مسؤوليته تجاه لبنان الذي لا يزال يتحمل العبء الأكبر لأزمة النازحين السوريين بين كل دول المنطقة,TRUE,negative,-1,new,عبء,burden,54
17,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,380349816087138304,18-Sep-2013,"إن لبنان،على الصعيدين الوطني والشعبي، كان ولا يزال يظهر تعاطفاً وتضامناً جديرَيْن بالإعتبار مع مأساة النازحين السوريين",TRUE,negative,-1,new,مأساة,tragedy,8
18,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,380347161466007552,18-Sep-2013,نشدد على ان لبنان كان ولا يزال يظهر تعاطفاً وتضامناً جديرَيْن بالإعتبار مع مأساة النازحين السوريين,TRUE,positive,1,new,تعاطف,sympathy,1
19,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,380346671160254464,18-Sep-2013,"على المجتمع الدولي تحمل مسؤوليته تجاه لبنان، الذي ما زال يتحمل العبء الأكبر من أزمة النازحين السوريين بين كل دول المنطقة",TRUE,negative,-1,new,أزمة,crisis,68
20,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,375999537904885760,6-Sep-2013,"أن لبنان غير  قادر بمفرده على تحمل تداعيات النزوح السوري اليه، وهو عبّر عن ذلك منذ بداية الأزمة السورية",TRUE,negative,-1,new,تداعيات,ramifications,24
21,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,375929370642116608,6-Sep-2013,ندعو المجتمع الدولي إلى تحييد لبنان عن الصراعات الدائرة في المنطقة ومساعدته على معالجة ملف النازحين السوريين,TRUE,negative,-1,new,معالجة,processing,10
22,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,356739637600985088,15-Jul-2013,هذا الملف يأخذ حيز البحث الجدي والسريع لصياغة آلية تسهل وصول المساعدات المطلوبة لادارة أزمة النازحين السوريين,TRUE,negative,-1,new,أزمة,crisis,68
23,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,346947088367620096,18-Jun-2013,ندعو المجتمع الدولي الى التعاون مع لبنان لتقاسم الأعباء الناتجة عن تزايد أعداد النازحين السوريين الى لبنان,TRUE,negative,-1,new,عبء,burden,54
24,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,331722379959087104,7-May-2013,"لبنان الذي رعى النازحين السوريين الذين وفدوا الى أراضيه ولا يزالون منذ بداية الأحداث في سوريا ، يجد نفسه اليوم عاجزا عن إستمرار هذه الرعاية",TRUE,negative,-1,new,عاجز,helpless,1
25,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,295864561800720384,28-Jan-2013,ولكن الأهم في هذا المجال هو معالجة الإنعكاسات الأمنية والصحية والاجتماعية لملف النازحين السوريين,TRUE,negative,-1,new,إنعكاسات,reflections,5
26,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,295864450911698945,28-Jan-2013,إننا نتطلع الى مؤتمر الكويت الذي سيعقد الأربعاء المقبل للحصول على مساعدات دولية لإغاثة النازحين السوريين,TRUE,positive,1,new,إغاثة,relief,2
27,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,280661197433475072,17-Dec-2012,تهدف الخطة لوضع الية تنسيق وتمويل للخدمات التي تنوي الحكومة اللبنانية تقديمها للنازحين السورين والأسراللبنانية المضيفة,TRUE,positive,1,new,خدمات,services,7
28,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,280651515922890752,17-Dec-2012,ستدرج خطة الحكومة اللبنانية كجزء من خطة الأمم المتحدة للإستجابة لقضية النازحين السوريين في المنطقة وستطلق نهار الاربعاء المقبل في جنيف.,TRUE,positive,1,new,إستجابة,response,1
29,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,273754116734476289,28-Nov-2012,إمكانات الدولة اللبنانية لا تسمح لنا بالإستمرار في مساعدة النازحين السوريين من دون مساعدة الهيئات الدولية المعنية,TRUE,negative,-1,new,إستمرار,continuation,4
30,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,273752361116266496,28-Nov-2012,شددنا دائما على أننا لا ننأى بأنفسنا عن الواجب الإنساني تجاه النازحين السوريين ونحن مستمرون في هذا الإلتزام,TRUE,positive,1,new,واجب,duty,4
31,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,273749584017252352,28-Nov-2012,نأكد إلتزام حكومتنا بمساعدة النازحين السوريين الموجودين في لبنان إلى حين عودتهم,TRUE,negative,-1,new,عودة,return,250
32,2878635204,Walid Joumblatt,وليد جنبلاط,Walid Joumblatt,walidjoumblatt,official account,President of the Progressive Socialist Party of Lebanon,1,0,812869,3179,26-Oct-2014,1102264618070822912,3-Mar-2019,لقاء ودي ومصارحة مع سفير الاتحاد الروسي في لبنان السيد Alexandre Zassipkine .كان نقاش عام حول شتى المواضيع المحلية والعالمية وطبعا من جملة ما جرى التطرق اليه هو الخطة الروسية التي تتعلق بالنازحين السوريين واهمية تثبيت العودة الطوعية والآمنة بعيدا عن جو المزايدات والعنصرية https://t.co/jQuirZcsSC,TRUE,negative,-1,new,نازح,displaced,624
33,2878635204,Walid Joumblatt,وليد جنبلاط,Walid Joumblatt,walidjoumblatt,official account,President of the Progressive Socialist Party of Lebanon,1,0,812869,3179,26-Oct-2014,1100743006494343168,27-Feb-2019,لاتقارب قضية اللاجئين السوريين بالمزايدات السياسية .اننا سنقيم ندوة تجمع الاخصائين في موضوع النزوح وليكن تبادل الاراء موضوعي للخروج بتوصيات قابلة للتطيق.وبالمناسبة نتفهم هواجس الرئيس عون لكن كلام بعض المقربين منه غير دقيق اذ لم يعد القبارصة اليونانيين الى املاكهم المحتلة تركياً https://t.co/WutjrvvH6l,TRUE,negative,-1,new,نزوح,Exodus,105
34,2878635204,Walid Joumblatt,وليد جنبلاط,Walid Joumblatt,walidjoumblatt,official account,President of the Progressive Socialist Party of Lebanon,1,0,812869,3179,26-Oct-2014,1100422879492165632,26-Feb-2019,اجتمعت اليوم مع Frederica Mogherini الممثلة العليا للاتحاد الاوروبي للشؤون الخارجية والسياسية والامنية.استعرضنا  باختصار المحاور الاساسية الداخلية وموضوع اللاجئين السوريين واهمية المساعدات الاوروبية لهم وللبنان ومبدأالعودة الآمنة والطوعية .كما جرى الحديث عن اوضاع اوروبا عامة https://t.co/GhVuzxaWqw,FALSE,negative,-1,new,عودة,return,250
35,2878635204,Walid Joumblatt,وليد جنبلاط,Walid Joumblatt,walidjoumblatt,official account,President of the Progressive Socialist Party of Lebanon,1,0,812869,3179,26-Oct-2014,1053311892758937604,19-Oct-2018,لا بد ان تظهر الحقيقة حول اختفاء جمال خاشقجي الا اذا كان ضحية صراع الدول ومصالحها .في هذا المجال غريب كيف الرأي العام العالمي لم يتحرك في قضية الشعب السوري الذي اغتيل وتهجر وخطف وتعذب . وها هو دميستورا يتأسف انه لم ينجز الدستور قبل ان ينهي مهمته .الاخضر الابراهيمي احترم نفسه وترك https://t.co/n13pGsu9EJ,FALSE,positive,1,new,تهجير,displacement,27
36,2878635204,Walid Joumblatt,وليد جنبلاط,Walid Joumblatt,walidjoumblatt,official account,President of the Progressive Socialist Party of Lebanon,1,0,812869,3179,26-Oct-2014,989169690793644032,25-Apr-2018,اليوم وفي طريقي الى المختارة في منطقة وادي رشميا التقيت بعائلة من النازحين من سوريا وكانوا الى جانب الطريق ينتظرون سامر صاحب الفان لايصالهم الى المدرسة .وكم كان في وجوههم نظرة فرح وتحد بانهم يتحدون نكبتهم بالاصرار على العلم .التحية لهذا الشعب الكبير ولتخرس الاصوات العنصرية https://t.co/jtWBJWMU7d,TRUE,positive,1,new,تحية,greeting,1
37,2878635204,Walid Joumblatt,وليد جنبلاط,Walid Joumblatt,walidjoumblatt,official account,President of the Progressive Socialist Party of Lebanon,1,0,812869,3179,26-Oct-2014,917264723950886913,9-Oct-2017,اخر زمان : وكأن اللاجئ السوري اتى من القمر ليحتل بلادنا وعلى ضهره الفلسطيني الذي لا وطن له.فيقوم كبار الساسة  ومعهم سيدات المجتمع بالتحريض https://t.co/vfmWjypqtn,FALSE,positive,1,new,تحريض,incitement,10
38,2878635204,Walid Joumblatt,وليد جنبلاط,Walid Joumblatt,walidjoumblatt,official account,President of the Progressive Socialist Party of Lebanon,1,0,812869,3179,26-Oct-2014,895930772661690368,11-Aug-2017,وقف التحريض على اللاجئ السوري واعادة النظر بنظرية النمو ووصفات البنك الدولي الفوقية https://t.co/PQ1nnM96Dz,FALSE,positive,1,new,تحريض,incitement,10
39,2878635204,Walid Joumblatt,وليد جنبلاط,Walid Joumblatt,walidjoumblatt,official account,President of the Progressive Socialist Party of Lebanon,1,0,812869,3179,26-Oct-2014,884682088091439105,11-Jul-2017,يجب الحد من عاصفة الحقد والعنصرية تجاه اللاجئ السوري الذي يضيف على الاقتصاد المحلي حوالي مليار دولار ونيف https://t.co/bg9ZvOrTQh,FALSE,positive,1,new,عنصرية,racism,24
40,2878635204,Walid Joumblatt,وليد جنبلاط,Walid Joumblatt,walidjoumblatt,official account,President of the Progressive Socialist Party of Lebanon,1,0,812869,3179,26-Oct-2014,767979237634666496,23-Aug-2016,اصر النظام على الحل العسكري القمعي الامر الذي دمر سوريا وهجر ملايين من شعبها https://t.co/gqSdGm2wKb,FALSE,positive,1,new,تهجير,displacement,27
41,2878635204,Walid Joumblatt,وليد جنبلاط,Walid Joumblatt,walidjoumblatt,official account,President of the Progressive Socialist Party of Lebanon,1,0,812869,3179,26-Oct-2014,704617702078328833,1-Mar-2016,والشعب السوري متروك وحيدا يقتل ويعذب ويهجر https://t.co/tuzRFn9KMV,FALSE,positive,1,new,قتل,killing,22
42,2351401464,Boutros HARB,بطرس حرب,Boutros Harb,Harb_Boutros,Lebanon,lawyer /former Member of the Lebanese parliament/ Former education & public work &labour & Telecom Minister,1,0,134825,63,19-Feb-2014,920683929291640833,18-Oct-2017,في تركيا كما في الأردن يعالجون أزمة النازحين دون إشتراط  التواصل مع النظام السوري #مجلس_النواب,TRUE,negative,-1,new,أزمة,crisis,68
43,2351401464,Boutros HARB,بطرس حرب,Boutros Harb,Harb_Boutros,Lebanon,lawyer /former Member of the Lebanese parliament/ Former education & public work &labour & Telecom Minister,1,0,134825,63,19-Feb-2014,532991429170049024,13-Nov-2014,عندما خفَّضت أسعار الإتصالات قامت القيامة لكن بعد أشهر سجلنا إيرادات جيدة والمشكلة في زيادة عدد النازحين السوريين وسنقوم بعرض خدمة خاصة بهم,TRUE,negative,-1,new,مشكلة,problem,24
44,1159448748,Wiam Wahhab,وئام وهاب,Wiam Wahhab,wiamwahhab,Beirut & Chouf,رئيس حزب التوحيد العربي / وزير البيئة اللبناني السابق President of Arab Unitarian Party / Former Lebanese Minister of Environment,1,0,697034,1211,8-Feb-2013,1137772189871202304,9-Jun-2019,أما بالنسبة للسوريين فلنأخذ الجانب الإيجابي رغم سلبيات النزوح ففي لبنان مائة ألف شقة مؤجرة لسوريين وكل المساعدات التي تأتي على إسمهم حتى أموال سيدر ومستقبلاً سيذهب الآلاف للعمل في إعمار سوريا فلماذا نؤسس للحقد؟,TRUE,negative,-1,new,سلبيات,negatives,4
45,1159448748,Wiam Wahhab,وئام وهاب,Wiam Wahhab,wiamwahhab,Beirut & Chouf,رئيس حزب التوحيد العربي / وزير البيئة اللبناني السابق President of Arab Unitarian Party / Former Lebanese Minister of Environment,1,0,697034,1211,8-Feb-2013,1101577127051386881,1-Mar-2019,"#وهاب: بدء الإعمار في سوريا يعيد النازحين السوريين الى بلدهم وعلى الأوروبيين أن يشجعوا إعادة الإعمار في سوريا وتشجيع العربي على العودة الى سوريا والمشاركة في إعادة الإعمار ما يعيد النازحين الى بلدهم
#حديث_الساعة",TRUE,negative,-1,new,عودة,return,250
46,1159448748,Wiam Wahhab,وئام وهاب,Wiam Wahhab,wiamwahhab,Beirut & Chouf,رئيس حزب التوحيد العربي / وزير البيئة اللبناني السابق President of Arab Unitarian Party / Former Lebanese Minister of Environment,1,0,697034,1211,8-Feb-2013,1091729992411738112,2-Feb-2019,بعد لقائه سفيرة الدانمارك في لبنان وهاب:عودة اللاجئين يلزمها البدء بورشة الإعمار في سوريا بدعم عربي وأوروبي وإسقاط العقوبات الظالمة عنها ودون ذلك سيظل عبء اللجوء جاثماً على لبنان واوروبا https://t.co/4lMr9Rt6MO,FALSE,negative,-1,new,عودة,return,250
47,1159448748,Wiam Wahhab,وئام وهاب,Wiam Wahhab,wiamwahhab,Beirut & Chouf,رئيس حزب التوحيد العربي / وزير البيئة اللبناني السابق President of Arab Unitarian Party / Former Lebanese Minister of Environment,1,0,697034,1211,8-Feb-2013,935130244306079744,27-Nov-2017,على لبنان أن يبدأ الإستعداد لتنظيم عودة السوريين النازحين الى ديارهم فالحل السياسي أقرب مما نتوقع وقد وضعت خطوطه العريضة,TRUE,negative,-1,new,عودة,return,250
48,1159448748,Wiam Wahhab,وئام وهاب,Wiam Wahhab,wiamwahhab,Beirut & Chouf,رئيس حزب التوحيد العربي / وزير البيئة اللبناني السابق President of Arab Unitarian Party / Former Lebanese Minister of Environment,1,0,697034,1211,8-Feb-2013,903864450926739456,2-Sep-2017,لا شيء يمنع بدء عودة غالبية النازحين إلى سوريا إلا أوهام هواة السياسة في لبنان بأنهم قادرون على استعمالهم في أي استحقاق سوري قادم,TRUE,negative,-1,new,عودة,return,250
49,1159448748,Wiam Wahhab,وئام وهاب,Wiam Wahhab,wiamwahhab,Beirut & Chouf,رئيس حزب التوحيد العربي / وزير البيئة اللبناني السابق President of Arab Unitarian Party / Former Lebanese Minister of Environment,1,0,697034,1211,8-Feb-2013,882650767936630784,5-Jul-2017,وهاب: رئيس الحكومة أكد استعداد سوريا لإستقبال مئات آلاف النازحين في المدن الآمنه إعتباراً من الغد والدعوة مفتوحة للجميع للعودة,TRUE,negative,-1,new,عودة,return,250
50,1159448748,Wiam Wahhab,وئام وهاب,Wiam Wahhab,wiamwahhab,Beirut & Chouf,رئيس حزب التوحيد العربي / وزير البيئة اللبناني السابق President of Arab Unitarian Party / Former Lebanese Minister of Environment,1,0,697034,1211,8-Feb-2013,786083547404730368,12-Oct-2016,تسليم سوريين للسلطات الألمانيه سورياً كان ينوي القيام بعمليه ارهابيه عمل بطولي ويُظهر وجهاً عربياً لائقًاً تجاه المانيا التي كرمت اللاجئين,FALSE,positive,1,new,كرم,generosity,1
51,166513119,Gebran Bassil,جبران باسيل‎,Gebran Bassil,Gebran_Bassil,Lebanon,Minister of Foreign Affairs of Lebanon. Member of the Lebanese Parliament. Head of the Free Patriotic Movement.,1,0,380480,202,14-Jul-2010,1139798564102639616,15-Jun-2019,لبنان يتعرض الى مؤامرة ولا يقولنّ احد انه ليس هناك مخطط لتوطين النازحين السوريين في لبنان وهناك منظومة اعلامية ومالية وسياسية تعمل على تشجيع النازحين على البقاء وتشن هجوماً علينا لمطالبتنا بعودة النازحين,TRUE,negative,-1,new,عودة,return,250
52,166513119,Gebran Bassil,جبران باسيل‎,Gebran Bassil,Gebran_Bassil,Lebanon,Minister of Foreign Affairs of Lebanon. Member of the Lebanese Parliament. Head of the Free Patriotic Movement.,1,0,380480,202,14-Jul-2010,1139797602516578304,15-Jun-2019,عدد كبير من الطلبات نتلقاها من دول اوروبية لاعادة سوريين نزحوا اليها من لبنان ونرفض ذلك لان الواجب هو عودتهم الى سوريا,TRUE,negative,-1,new,عودة,return,250
53,166513119,Gebran Bassil,جبران باسيل‎,Gebran Bassil,Gebran_Bassil,Lebanon,Minister of Foreign Affairs of Lebanon. Member of the Lebanese Parliament. Head of the Free Patriotic Movement.,1,0,380480,202,14-Jul-2010,1139797028182069249,15-Jun-2019,النازح السوري لا يتحمل اي موجبات ضريبية فيما اللبناني يتعرض للمزاحمة على فرص العمل ويخسرها وهو يدفع الرسوم الى الدولة اللبنانية,TRUE,negative,-1,new,ضريبة,tax,1
54,166513119,Gebran Bassil,جبران باسيل‎,Gebran Bassil,Gebran_Bassil,Lebanon,Minister of Foreign Affairs of Lebanon. Member of the Lebanese Parliament. Head of the Free Patriotic Movement.,1,0,380480,202,14-Jul-2010,1139796594084200448,15-Jun-2019,تجربة اللاجئ الفلسطيني لن تتكرر مع النازح السوري الممنوع من العودة حتى الان من عدة اطراف بسبب عدة عوامل,TRUE,negative,-1,new,عودة,return,250
55,166513119,Gebran Bassil,جبران باسيل‎,Gebran Bassil,Gebran_Bassil,Lebanon,Minister of Foreign Affairs of Lebanon. Member of the Lebanese Parliament. Head of the Free Patriotic Movement.,1,0,380480,202,14-Jul-2010,1138901375713255424,12-Jun-2019,"هناك قرار دولي يتحدث عن حق العودة للفلسطينيين ونحن مع هذا الحق ونرفض التوطين بحسب دستورنا.
عودة النازحين السوريين ممكنة لكن الغرب لا يشجعها ونحن نطالبه بذلك",TRUE,negative,-1,new,عودة,return,250
