serial,user_id,name_en,name_ar,screen_name,location,description,tweet_count,tweet_nocount,followers_count,friends_count,account_created_at,status_id,created_at,text,naze7,impression_text,impression,cat,word,word_freq
319,335057658,Racha El Halabi - رشا الحلبي,رشا الحلبي,Racha93halabi,Turkey تركيا - Lebanon لبنان,Presenter/Producer at @TRTArabi | Into Graphic Design,1,0,44617,1964,14-Jul-2011,1065598963359858694,22-Nov-2018,"في كيليس التركية الحدودية، التي يزيد فيها عدد السكان السوريين عن الأتراك... أُطلق منذ عدة سنوات أول واكبر مشروع لتمكين النساء السوريات اللاجئات: ""كريمات"".
لأن المرأة هي نواة المجتمع وهي الأم والزوجة والأخت.
تقرير: رشا الحلبي - TRT العربية

https://t.co/GLdF11FaOW",FALSE,positive,1,new,كريمة,2
320,335057658,Racha El Halabi - رشا الحلبي,رشا الحلبي,Racha93halabi,Turkey تركيا - Lebanon لبنان,Presenter/Producer at @TRTArabi | Into Graphic Design,1,0,44617,1964,14-Jul-2011,1065592320127614981,22-Nov-2018,"مشروع ""كريمات"" لتمكين السوريات اللاجئات اقتصاديا ومعرفياً | تقرير: رشا الحلبي",FALSE,positive,1,new,كريمة,2
419,284695423,Faysal ElKak فيصل القاق,فيصل القاق,Drelkak,Lebanon,"VicePresident @FIGOHQ, Director WISH Program American Univ of Beirut, Dept ObGyn AUB Med Ctr, Fac Health Sci, Activist,voice4change",1,0,1803,995,19-Apr-2011,998804786580508672,22-May-2018,"ارتفعت أعداد النساء اللواتي وقعن ضحّية إتجار في لبنان من 19 امرأة عام 2015 إلى 87 عام 2016، بزيادة نسبتها 500% #النازحات #اللاجئين_السوريين #لبنان #اتجار_بالبشر #حقوق_الانسان  https://t.co/geCoORhkap",TRUE,positive,1,new,إتجار,2
426,284695423,Faysal ElKak فيصل القاق,فيصل القاق,Drelkak,Lebanon,"VicePresident @FIGOHQ, Director WISH Program American Univ of Beirut, Dept ObGyn AUB Med Ctr, Fac Health Sci, Activist,voice4change",1,0,1803,995,19-Apr-2011,884678237410004993,11-Jul-2017,وانعكاس ذلك على المسائل الصحية والتربوية ومستقبل سوريا #سوريا #لاجئون_منسيون https://t.co/khxJy8hT9k,FALSE,positive,1,new,نسيان,2
427,284695423,Faysal ElKak فيصل القاق,فيصل القاق,Drelkak,Lebanon,"VicePresident @FIGOHQ, Director WISH Program American Univ of Beirut, Dept ObGyn AUB Med Ctr, Fac Health Sci, Activist,voice4change",1,0,1803,995,19-Apr-2011,882222363340922880,4-Jul-2017,حتى النيران تجتاح مخيمات السوريين #لاجئون #لاجئون_منسيون https://t.co/IPBTzgFXqv,FALSE,positive,1,new,نسيان,2
430,284695423,Faysal ElKak فيصل القاق,فيصل القاق,Drelkak,Lebanon,"VicePresident @FIGOHQ, Director WISH Program American Univ of Beirut, Dept ObGyn AUB Med Ctr, Fac Health Sci, Activist,voice4change",1,0,1803,995,19-Apr-2011,849673195649191936,5-Apr-2017,"""ا ب"": المانحون الدوليون تعهدوا 6 مليار دولار لسوريا في الـ2017 مع كل الأمل  ان يذهبوا للنازحين!! https://t.co/vFxBDvcFPi",TRUE,positive,1,new,أمل,2
440,445733434,samikleib-journalist سامي كليب,سامي كليب,samykleyb,Beirut paris,"journaliste libre et independant PHD journalisme. صحافي حر.شعاري:"" اعلاميون لا أبواق""",1,0,183544,7552,24-Dec-2011,694420145205153794,2-Feb-2016,آخر الاحصاءات الاوروبية: 15 ألف طبيب سوري هاجروا. ومعظم المقبولين في الغرب هم حرفيون ومهنيون.سرقة العقول مستمرة https://t.co/qMhhXu0VGS,FALSE,positive,1,new,سرقة,2
443,250742279,Jad Shahrour | جاد,جاد شحرور,Jadshahrour,Lebanon,Comms Officer @ Samir kassir Foundation @sk_eyes. Creative Copywriter/freelance journalist. Nominated for #SamirKassirAward 12” #PressFreedom #حرية_الصحافة,1,0,3119,2756,11-Feb-2011,1108108488167878662,19-Mar-2019,اللجوء السوري خرب البلد.. حقيقة أم افتراء؟ https://t.co/FxKNXkUb6Y via @YouTube #share,FALSE,positive,1,new,إفتراء,2
444,250742279,Jad Shahrour | جاد,جاد شحرور,Jadshahrour,Lebanon,Comms Officer @ Samir kassir Foundation @sk_eyes. Creative Copywriter/freelance journalist. Nominated for #SamirKassirAward 12” #PressFreedom #حرية_الصحافة,1,0,3119,2756,11-Feb-2011,1107713638721306626,18-Mar-2019,".بالانتخابات في لوائح، بالسياسة في لوائح ارهاب. وعلى @Daraj_media في لائحة فيديوهات المواضيع يلي صوررتها
١-عام ٢٠١٨: كم من انتهاك للحرية؟
٢-مين يملك وسائل الاعلام اللبنانية؟
٣-ماذا بقي من أدوات الثورات العربية؟
٤-اللجوء السوري خرب البلد حقيقة أم افتراء؟
https://t.co/p97KtOI4bZ",FALSE,positive,1,new,إفتراء,2
445,250742279,Jad Shahrour | جاد,جاد شحرور,Jadshahrour,Lebanon,Comms Officer @ Samir kassir Foundation @sk_eyes. Creative Copywriter/freelance journalist. Nominated for #SamirKassirAward 12” #PressFreedom #حرية_الصحافة,1,0,3119,2756,11-Feb-2011,986539883190804480,18-Apr-2018,اللاجئ السوري بين التهجير القسري والعودة الطوعية... ربما البحر الذي ابتلعهم كان أشد رحمة...,FALSE,positive,1,new,رحمة,2
448,250742279,Jad Shahrour | جاد,جاد شحرور,Jadshahrour,Lebanon,Comms Officer @ Samir kassir Foundation @sk_eyes. Creative Copywriter/freelance journalist. Nominated for #SamirKassirAward 12” #PressFreedom #حرية_الصحافة,1,0,3119,2756,11-Feb-2011,886502489016733697,16-Jul-2017,#علم_وخبر تسييس المؤسسة العسكرية هو الارهاب بحد ذاته... وقمع اللاجئين من قبلنا ما هو الا مشهد هربوا منه السوريين من الأسد... لما التكرار؟,FALSE,positive,1,new,قمع,2
460,767426736,علي الامين,علي الأمين,alyalamine,Beirut,"صحافي، محلل سياسي ورئيس تحرير موقع جنوبية (الحساب الرسمي)
https://t.co/j6PxiM3w6m",1,0,11434,200,19-Aug-2012,1138931204932194304,12-Jun-2019,من الوقفة #ضد_خطاب_الكراهية ضد #اللاجئين_السوريين في ساحة الشهيد سمير قصير في بيروت امس الأربعاء https://t.co/xPoHKSt05R,FALSE,positive,1,new,كراهية,2
461,767426736,علي الامين,علي الأمين,alyalamine,Beirut,"صحافي، محلل سياسي ورئيس تحرير موقع جنوبية (الحساب الرسمي)
https://t.co/j6PxiM3w6m",1,0,11434,200,19-Aug-2012,1137859711880114176,9-Jun-2019,اغتيال #الشيخ_محمد_قاسم_الجرار  في #شبعا  المشرف على مستوصف الرحمة اهم مركز اغاثي للاجئين السوريين في منطقة #العرقوب https://t.co/Qf4ybI8Aojاغتيال-فضيلة-الشيخ-محمد-قاسم-الجرار-في/,FALSE,positive,1,new,إغاثة,2
465,767426736,علي الامين,علي الأمين,alyalamine,Beirut,"صحافي، محلل سياسي ورئيس تحرير موقع جنوبية (الحساب الرسمي)
https://t.co/j6PxiM3w6m",1,0,11434,200,19-Aug-2012,887531827350695940,19-Jul-2017,"لا تحمل اللاجىء السوري ما فعلت انت ضد وطنك، ما سببته الميليشيا للبنان، ماارتكبه زعيمك في الحكم من جرائم ضد الدولة.
#شماعة_اللجوء",FALSE,positive,1,new,شماعة,2
466,767426736,علي الامين,علي الأمين,alyalamine,Beirut,"صحافي، محلل سياسي ورئيس تحرير موقع جنوبية (الحساب الرسمي)
https://t.co/j6PxiM3w6m",1,0,11434,200,19-Aug-2012,887386148607340545,18-Jul-2017,جهة واحدة مستفيدة من شيطنة اللجوء السوري ومن شيطنة #الجيش,FALSE,positive,1,new,شيطنة,2
493,240760882,Rima Maktabi,ريما مكتبي‎,rimamaktabi,United Kingdom,UK Bureau Chief at Al Arabiya News Channel. YGL at WEF. All views r mine.,1,0,2995579,930,20-Jan-2011,959159847269945350,1-Feb-2018,واكبر فرحة في حياتي المهنية ... #سوريا #لاجئين دائما في أمل https://t.co/3ogBp3liLQ,FALSE,positive,1,new,أمل,2
540,721996081664368641,Nabil El Halabi,نبيل الحلبي,NabilElHalabi1,Beirut - Lebanon,Founder of the Lebanese Institute for Democracy and Human Rights - LIFE,1,0,5126,467,18-Apr-2016,830403732772904960,11-Feb-2017,"منصَّة #المعارضة_السورية الحقيقية الموجودة في #لبنان هي :
الصامدة تحتَ خيّمة لاجئ ,
أو وراء قضبان سجن - ظلماً - بسبب موقف سياسي .",FALSE,positive,1,new,سجن,2
542,721996081664368641,Nabil El Halabi,نبيل الحلبي,NabilElHalabi1,Beirut - Lebanon,Founder of the Lebanese Institute for Democracy and Human Rights - LIFE,1,0,5126,467,18-Apr-2016,809878750359851008,16-Dec-2016,"مقاتلون شيعة عراقيين ولبنانيين متطرفين يرغمون نازحي #حلب الشرقية على البقاء أرضاً في أوضاع مهينة , رغم مواكبة اللجنة الدولية للصليب الأحمر . https://t.co/Z4efXtHV0I",TRUE,positive,1,new,إهانة,2
547,721996081664368641,Nabil El Halabi,نبيل الحلبي,NabilElHalabi1,Beirut - Lebanon,Founder of the Lebanese Institute for Democracy and Human Rights - LIFE,1,0,5126,467,18-Apr-2016,756940189436641280,23-Jul-2016,لمّا بدّي خفف عن صديق سوري لاجئ في لبنان بعطيه فكرة عن حياة اللبنانيين بالحرب وما بعد الحرب. من باب اللي بيشوف مصيبة غيره بتهون عليه مصيبته,FALSE,positive,1,new,حرب,2
550,721996081664368641,Nabil El Halabi,نبيل الحلبي,NabilElHalabi1,Beirut - Lebanon,Founder of the Lebanese Institute for Democracy and Human Rights - LIFE,1,0,5126,467,18-Apr-2016,747846249009811456,28-Jun-2016,المداهمات و الإعتقالات الإرتجالية التي تستهدف مخيمات اللاجئين السوريين عقب كل حدث أمني لا تخلو من الإعتداءات الجسدية الجسيمة عليهم .,FALSE,positive,1,new,إعتداء,2
551,721996081664368641,Nabil El Halabi,نبيل الحلبي,NabilElHalabi1,Beirut - Lebanon,Founder of the Lebanese Institute for Democracy and Human Rights - LIFE,1,0,5126,467,18-Apr-2016,747844684475731968,28-Jun-2016,"109 لاجئ سوري في #لبنان  يقبعون في سجن رومية منذ أحداث عرسال في صيف 2014 , ينتظرون مثولهم أمام المحكمة العسكرية لإثبات برائتهم !",FALSE,positive,1,new,سجن,2
558,305565958,Dima,ديما صادق,DimaSadek,Beirut,News anchor at LBCI https://t.co/3ngSEuvny4…,1,0,355388,915,26-May-2011,1138799013640249350,12-Jun-2019,"أصدقائي ، كل اللبنانية بطبيعة الحال مضايقين من ثقل النزوح السوري . هيدا حقهم. و لكن الحل ما بكون بتضخيم الأرقام  و نشر الكراهية . هيدي أرقام علمية بناء لدراسة معهد عصام فارس بتظهر قدي عّم بصير في تزوير بالحقائق بغية التضليل. بتمنى تاخدو من وقتكم اقل من دقيقة لقراءتها . مع كل الحب https://t.co/OIApL8csMJ",TRUE,positive,1,new,كراهية,2
590,900571646,Hady Hobeiche,هادي حبيش,hadyhobeiche,"Kobayat, Akkar, Lebanon",Lebanese MP representing Akkar.,1,0,120339,393,23-Oct-2012,521379836917329920,12-Oct-2014,"حكومة الرئيس ميقاتي شرعت جو ايجابي تجاه النازحين السوريين و العدد خرج عن حدود المتوقع
@AlJadeed_TV @ALJADEEDNEWS @ousbou3fisa3a",TRUE,positive,1,new,إيجابى,2
605,177815370,Nasser Yassin,ناصر ياسين,nasseryassin,Global,"Professor, Researcher, and Policy Innovator in Lebanon. Tweeting on Policy Issues #AUB #AUB4Refugees #WithRefugees - Opinions are My Own",1,0,5137,1805,13-Aug-2010,1136568841562132481,6-Jun-2019,"@Elie_Al_Hindy @Sobhiyanajjar @CarmenJoukhadar @carolineakoum @Lebanon24 @VdlPrograms @AnbaaOnline @dianamoukalled @Lisa_ak @timourazhari @RKouyoumjian عزيزي ايلي، 
نحن بأمس الحاجة إلى خطة وطنية واستراتيجية شاملة تُنظم ولا تمنع، تحمي ولا تقمع اللاجئين، تُسعف المجتمعات المضيفة، تخفف التوترات، وتعمل على حل دولي للقضية. 
@RKouyoumjian",FALSE,positive,1,new,تنظيم,2
606,177815370,Nasser Yassin,ناصر ياسين,nasseryassin,Global,"Professor, Researcher, and Policy Innovator in Lebanon. Tweeting on Policy Issues #AUB #AUB4Refugees #WithRefugees - Opinions are My Own",1,0,5137,1805,13-Aug-2010,1136558775974932481,6-Jun-2019,"@55ghasseb @CarmenJoukhadar @Sobhiyanajjar @carolineakoum @Elie_Al_Hindy @Lebanon24 @VdlPrograms @AnbaaOnline @dianamoukalled @Lisa_ak @timourazhari عزيزي استاذ غاصب، سعيد باللقاء ولو افتراضيا

المرجعية يجب ان تكون الدولة اللبنانية، التي تطمر رأسها بالرمل ولا تتحمل مسؤولياتها لتنظيم وضع اللاجئيين والمجتمعات المضيفة. عوض تجييش اللبنانيين ضد السوريين كان الاجدى ان تنطلق الدبلوماسية اللبنانية لتضغط على المجتمع الدولي بدل محاربته",FALSE,positive,1,new,تنظيم,2
619,177815370,Nasser Yassin,ناصر ياسين,nasseryassin,Global,"Professor, Researcher, and Policy Innovator in Lebanon. Tweeting on Policy Issues #AUB #AUB4Refugees #WithRefugees - Opinions are My Own",1,0,5137,1805,13-Aug-2010,1100267230615535617,26-Feb-2019,الأكثرية الساحقة من #اللاجئين #السوريين في #لبنان ينظرون الى علاقتهم مع المجتمعات المضيفة اللبنانية بإيجابية. https://t.co/EwGSauZXKo,FALSE,positive,1,new,إيجابى,2
621,177815370,Nasser Yassin,ناصر ياسين,nasseryassin,Global,"Professor, Researcher, and Policy Innovator in Lebanon. Tweeting on Policy Issues #AUB #AUB4Refugees #WithRefugees - Opinions are My Own",1,0,5137,1805,13-Aug-2010,1090514962685087744,30-Jan-2019,شهدت السنة الماضية(٢٠١٨) ازدياد في إعداد #اللاجئين #السوريين في #لبنان الذين انتقلوا إلى الاقامة في أماكن غير مؤهلة كمساكن وذلك جراء ازدياد العوز وعدم القدرة على دفع ايجار منازل. الأكثرية الساحقة من #اللاجئين السوريين التي تسكن هذه الأماكن هي تحت خط الفقر. https://t.co/0MnJIWiSY2,FALSE,positive,1,new,عوز,2
623,177815370,Nasser Yassin,ناصر ياسين,nasseryassin,Global,"Professor, Researcher, and Policy Innovator in Lebanon. Tweeting on Policy Issues #AUB #AUB4Refugees #WithRefugees - Opinions are My Own",1,0,5137,1805,13-Aug-2010,1087965846151065600,23-Jan-2019,"حتى ايلول - سبتمبر  ٢٠١٨، تم تمويل فقط ما يزيد عن نصف متطلبات الخطة الإقليمية للاجئين وتعزيز القدرة على مواجهة أزمة #اللجوء #السوري. لا تظهر مبادرات جدية في الافق لتقليل الفجوة التمويلية. https://t.co/BSBimSJW3Y",FALSE,positive,1,new,تمويل,2
628,177815370,Nasser Yassin,ناصر ياسين,nasseryassin,Global,"Professor, Researcher, and Policy Innovator in Lebanon. Tweeting on Policy Issues #AUB #AUB4Refugees #WithRefugees - Opinions are My Own",1,0,5137,1805,13-Aug-2010,1080933764111519744,3-Jan-2019,"نتمنى كم حضرة الحاكم تفاصيل احتساب الكلفة وتوضيح اثر الحرب في سوريا على الاقتصاد اللبناني من تأثير وجود اللاجئين 

@sarelwa2et 
@philabouzeid https://t.co/RROroAzJBs",FALSE,positive,1,new,حرب,2
653,47607633,ديانا مقلد Diana Moukalled,ديانا مقلد,dianamoukalled,"Beirut, Lebanon","TV journalist, documentary producer, women advocate and social media junkie
صحافية ومعدة أفلام وثائقية ..",1,0,66088,1069,16-Jun-2009,1143581406544703489,25-Jun-2019,"رداً على الحملات العنصرية التي تطال اللاجئين السوريين والفلسطينيين في لبنان والتي شهدت تصعيداً مقلقاً في الآونة الأخيرة، صدر هذا البيان https://t.co/1bXpJWvHwR",FALSE,positive,1,new,تعصب,2
704,275085591,Dalal Mawadدلال معوض,دلال معوض,dalalmawad,Middle East,"Journalist. Regional Video Producer at @UN @refugees. Formerly with @LBCI_News @AJEnglish. Proud graduate of @Columbia,@LSEnews @AUB_Lebanon . #Withrefugees",1,0,11489,1441,31-Mar-2011,695294323399749632,4-Feb-2016,هل يحث التمويل الجديد #لبنان على تعديل او إلغاء بعض سياساته تجاه #اللاجئين #السوريين؟ منهم حق العمل و نظام الإقامة؟ #SupportSyrians,FALSE,positive,1,old,تمويل,2
712,767426736,علي الامين,علي الأمين,alyalamine,Beirut,"صحافي، محلل سياسي ورئيس تحرير موقع جنوبية (الحساب الرسمي)
https://t.co/j6PxiM3w6m",1,0,11434,200,19-Aug-2012,887531827350695936,19-Jul-2017,"لا تحمل اللاجىء السوري ما فعلت انت ضد وطنك، ما سببته الميليشيا للبنان، ماارتكبه زعيمك في الحكم من جرائم ضد الدولة. #شماعة_اللجوء",FALSE,positive,1,old,شماعة,2
713,767426736,علي الامين,علي الأمين,alyalamine,Beirut,"صحافي، محلل سياسي ورئيس تحرير موقع جنوبية (الحساب الرسمي)
https://t.co/j6PxiM3w6m",1,0,11434,200,19-Aug-2012,887386148607340544,18-Jul-2017,جهة واحدة مستفيدة من شيطنة اللجوء السوري ومن شيطنة #الجيش,FALSE,positive,1,old,شيطنة,2
766,2878635204,Walid Joumblatt,وليد جنبلاط,walidjoumblatt,official account,President of the Progressive Socialist Party of Lebanon,1,0,812869,3179,26-Oct-2014,884682088091439104,11-Jul-2017,يجب الحد من عاصفة الحقد والعنصرية تجاه اللاجئ السوري الذي يضيف على الاقتصاد المحلي حوالي مليار دولار ونيف https://t.co/bg9ZvOrTQh,FALSE,positive,1,old,حقد,2
791,851273180,Nohad Machnouk,نهاد المشنوق,NohadMachnouk,Beirut - Lebanon,Official Twitter of the Member of the Lebanese Parliament Nohad Machnouk,1,0,222714,211,28-Sep-2012,712329882701848576,22-Mar-2016,"بحثت مع @JustineGreening إقامات نازحي #سوريا وإمكانية إعفائهم من الرسوم، أو إتاحة فرص عمل وفق قانون العمل اللبناني، لكن نحتاج تواصلا أكثر",TRUE,positive,1,old,إعفاء,2
858,107359225,Najib Mikati,نجيب ميقاتي,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,380347161466007552,18-Sep-2013,نشدد على ان لبنان كان ولا يزال يظهر تعاطفاً وتضامناً جديرَيْن بالإعتبار مع مأساة النازحين السوريين,TRUE,positive,1,new,تضامن,2
881,2878635204,Walid Joumblatt,وليد جنبلاط,walidjoumblatt,official account,President of the Progressive Socialist Party of Lebanon,1,0,812869,3179,26-Oct-2014,884682088091439105,11-Jul-2017,يجب الحد من عاصفة الحقد والعنصرية تجاه اللاجئ السوري الذي يضيف على الاقتصاد المحلي حوالي مليار دولار ونيف https://t.co/bg9ZvOrTQh,FALSE,positive,1,new,حقد,2
1037,851273180,Nohad Machnouk,نهاد المشنوق,NohadMachnouk,Beirut - Lebanon,Official Twitter of the Member of the Lebanese Parliament Nohad Machnouk,1,0,222714,211,28-Sep-2012,720951305703809025,15-Apr-2016,"وفد يمثل 70 جمعية تساعد النازحين السوريين بمناطق #لبنان ،شكر الوزير المشنوق و @LebISF على كشف أكبر شبكة إتجار بالبشر https://t.co/zhop0pWEUI",TRUE,positive,1,new,إتجار,2
1150,32828097,Jaafar Abdul Karim,جعفر عبد الكريم,jaafarAbdulKari,Berlin,TV Presenter/Reporter #JaafarTalk جعفر_توك# @DeutscheWelle | Vlog @spiegelonline | Column @zeitonline | جعفر عبد الكريم |,1,0,113148,5540,18-Apr-2009,1110539029144051713,26-Mar-2019,"""أنا أعاني من الاكتئاب،أصرخ ولا أحد يسمعني!""حلقة هذا الأسبوع وضيوف الحلقة
غيثة ازين يوتيوبر أصيبت بالاكتئاب
عبد العزيز علي طبيب مساعد في قسم الأمراض النفسية
خضر عبد المعطي خضر إمام مركز الرسالة في برلين
جالا الكاكوني لاجئة سورية أصيبت بالاكتئاب
أحمد أبوالحظ مصري متعاف من الاكتئاب https://t.co/2jfhXxb8KT",FALSE,positive,1,new,مرض,2
1210,335057658,Racha El Halabi - رشا الحلبي,رشا الحلبي,Racha93halabi,Turkey تركيا - Lebanon لبنان,Presenter/Producer at @TRTArabi | Into Graphic Design,1,0,44617,1964,14-Jul-2011,1065598963359858694,22-Nov-2018,"في كيليس التركية الحدودية، التي يزيد فيها عدد السكان السوريين عن الأتراك... أُطلق منذ عدة سنوات أول واكبر مشروع لتمكين النساء السوريات اللاجئات: ""كريمات"".
لأن المرأة هي نواة المجتمع وهي الأم والزوجة والأخت.
تقرير: رشا الحلبي - TRT العربية

https://t.co/GLdF11FaOW",FALSE,positive,1,new,تمكين,2
1211,335057658,Racha El Halabi - رشا الحلبي,رشا الحلبي,Racha93halabi,Turkey تركيا - Lebanon لبنان,Presenter/Producer at @TRTArabi | Into Graphic Design,1,0,44617,1964,14-Jul-2011,1065592320127614981,22-Nov-2018,"مشروع ""كريمات"" لتمكين السوريات اللاجئات اقتصاديا ومعرفياً | تقرير: رشا الحلبي",FALSE,positive,1,new,تمكين,2
1328,321180322,نيشان,نيشان ديرهاروتيونيان,Neshan,Lebanon,TV Host & Media Trainer,1,0,3214082,427,21-Jun-2011,1034472565421613056,28-Aug-2018,"قبل ما يكون اسمو سوري، لبناني، فلسطيني أو ألماني، وقبل ما يُسَمّى لاجئ، اسمو طفل!
طفل بكلّ المفاهيم والأديان والجنسيات والشرائع.
ومن حقّو يتعلّم.
ساعدهم يتعلّموا.
العلم نور والتعصّب أعمى.
#ساعدني_لأتعلم #ما_بنسى_مدرستي https://t.co/l2TUPW75gM https://t.co/XjaNiWQNv7",FALSE,positive,1,new,تعصب,2
1337,445733434,samikleib-journalist سامي كليب,سامي كليب,samykleyb,Beirut paris,"journaliste libre et independant PHD journalisme. صحافي حر.شعاري:"" اعلاميون لا أبواق""",1,0,183544,7552,24-Dec-2011,697469930166493185,10-Feb-2016,هل استقبال اوروبا ل#اللاجئين_السوريين انساني أم لسرقة العقول واليد العاملة الرخيصة. لعبة الامم الميادين. 8.30 ليلا. https://t.co/2wzj8rESLW,FALSE,positive,1,new,سرقة,2
